City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Winnemucca,US,40.973,-117.7357,71.6,12,1,5.75,clear sky
300,Samarai,PG,-10.6167,150.6667,82.4,73,15,12.5,few clouds
301,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,72.1,96,97,1.19,overcast clouds
302,Libertador General San Martin,AR,-23.8064,-64.7876,59.34,79,22,2.26,few clouds
303,Kahului,US,20.8947,-156.47,80.6,65,40,19.57,scattered clouds
304,Namatanai,PG,-3.6667,152.4333,84.88,67,81,2.3,light rain
305,Borovichi,RU,58.3878,33.9155,33.73,78,6,5.75,clear sky
306,San Carlos,VE,9.6612,-68.5827,73.47,90,99,2.08,overcast clouds
307,Rio Gallegos,AR,-51.6226,-69.2181,39.2,87,0,10.36,clear sky
308,Kieta,PG,-6.2167,155.6333,82.98,77,35,2.89,moderate rain
309,Pangnirtung,CA,66.1451,-65.7125,29.05,75,31,7.9,scattered clouds
310,Chapais,CA,49.7834,-74.8492,28.4,74,90,23.02,overcast clouds
311,Beidao,CN,34.5686,105.8933,78.31,32,43,1.79,scattered clouds
312,Manzhouli,CN,49.6,117.4333,49.84,39,15,5.48,few clouds
313,Quatre Cocos,MU,-20.2078,57.7625,79.0,78,40,10.36,scattered clouds
314,Panaba,MX,21.2833,-88.2667,77.27,73,93,10.4,overcast clouds
315,Hambantota,LK,6.1241,81.1185,84.2,89,20,3.44,few clouds
316,Batemans Bay,AU,-35.7167,150.1833,73.0,57,0,9.62,clear sky
317,Asau,RO,46.4333,26.4,54.0,57,99,3.42,overcast clouds
318,Avera,US,33.194,-82.5271,66.2,55,1,8.05,clear sky
319,Valparaiso,CL,-33.0393,-71.6273,55.99,82,63,4.34,broken clouds
320,Moyale,KE,3.5167,39.0584,68.7,81,76,8.68,light rain
321,Bodden Town,KY,19.2833,-81.25,80.6,78,0,4.61,clear sky
322,Mezen,RU,65.8522,44.24,34.95,78,100,4.09,overcast clouds
323,Surgut,RU,61.25,73.4167,35.6,87,40,13.42,scattered clouds
