City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
394,Rosarito,MX,66.99,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
395,Tual,ID,83.1,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
401,Vila Velha,BR,75.99,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
402,Sabha,LY,77.07,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
403,Koratagere,IN,86.0,scattered clouds,13.5228,77.2331,Post matric boys hostel
404,Sukumo,JP,71.65,scattered clouds,32.9333,132.7333,Sukumojo
405,Broken Hill,AU,77.0,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
406,Bengkulu,ID,85.3,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
407,Dehloran,IR,87.42,clear sky,32.6941,47.2679,کافه گیم استورم
408,Catemaco,MX,77.05,scattered clouds,18.4167,-95.1167,Hotel Playa Cristal
417,Jaisalmer,IN,91.02,few clouds,26.9147,70.9181,Hotel Fifu
418,Tiarei,PF,82.4,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
419,Havelock,US,70.0,broken clouds,34.8791,-76.9013,Sherwood Motel
420,Grajau,BR,71.8,overcast clouds,-5.8194,-46.1386,Hotel Confiança
421,Victor Harbor,AU,82.0,overcast clouds,-35.5667,138.6167,McCracken Country Club
423,Praia,CV,71.6,broken clouds,14.9215,-23.5087,LT Aparthotel
424,Matay,EG,78.08,clear sky,28.419,30.7792,Nag Aespen
425,Curup,ID,84.87,overcast clouds,-3.4667,102.5333,Ayi The Costel
429,Hirara,JP,82.4,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
430,Aswan,EG,83.98,clear sky,24.0934,32.907,Nuba Nile
433,Gizo,SB,83.07,moderate rain,-8.103,156.8419,Imagination Island
436,Kununurra,AU,93.2,clear sky,-15.7667,128.7333,Hotel Kununurra
437,Sumenep,ID,86.58,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
439,Talara,PE,70.65,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
444,El Alto,PE,69.04,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
447,Matamoros,MX,71.6,broken clouds,25.5333,-103.25,Quinta Belem
450,Chaozhou,CN,84.2,clear sky,23.6651,116.6379,Seven Corner View Homestay
452,Port-Gentil,GA,81.41,overcast clouds,-0.7193,8.7815,Fengshui Residence
455,Cabo Rojo,PR,77.0,clear sky,18.0866,-67.1457,Hotel Perichi's
456,Ughelli,NG,76.6,overcast clouds,5.4899,6.0074,Prestige Hotel
464,Camocim,BR,76.28,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
465,Linxia,CN,69.62,scattered clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
468,Padang,ID,86.0,few clouds,-0.9492,100.3543,Mercure Padang
469,Shenzhen,CN,87.01,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
470,Mackay,AU,77.0,scattered clouds,-21.15,149.2,International Lodge Motel
472,Nara,JP,77.0,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
477,Turan,VN,89.6,few clouds,16.0678,108.2208,Sun River Hotel
478,Petatlan,MX,76.5,clear sky,17.5167,-101.2667,Hotel California Petatlán
479,Kolokani,ML,83.52,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
482,Waddan,LY,81.32,clear sky,29.1614,16.139,محل الشريف محمد العايب
484,Ahuimanu,US,80.6,light rain,21.4447,-157.8378,Paradise Bay Resort
487,Fayaoue,NC,77.34,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
488,Puerto Madero,MX,77.0,scattered clouds,14.7208,-92.4215,Hotel La Central
490,Bairiki,KI,87.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
496,Marawi,PH,84.99,overcast clouds,7.9986,124.2928,Derogongan Residence
499,Nampula,MZ,71.6,few clouds,-15.1165,39.2666,BUTIK Hotel
501,Mount Gambier,AU,69.8,scattered clouds,-37.8333,140.7667,Commodore on the Park
502,Lom Sak,TH,82.4,few clouds,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
508,Manokwari,ID,83.28,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
512,Fare,PF,81.5,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
514,Isla Mujeres,MX,81.0,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
517,Ngunguru,NZ,68.0,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
518,Hobyo,SO,84.15,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
519,Khawhai,IN,84.52,clear sky,23.3667,93.1167,Homestay Khawhai
523,Saint-Joseph,RE,75.99,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
524,Tondano,ID,84.2,scattered clouds,1.3038,124.9112,Villa Bella
526,Buenos Aires,AR,68.0,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
529,Maun,BW,66.2,clear sky,-19.9833,23.4167,Enviro Villa
535,Komsomolskiy,UZ,69.8,broken clouds,40.4272,71.7189,Ikathouse
537,Chalmette,US,77.0,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
539,Jiaojiang,CN,87.01,scattered clouds,28.6803,121.4428,Jiaojiang Hotel
542,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
545,Yenagoa,NG,77.22,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
549,Basco,PH,80.02,clear sky,20.4487,121.9702,Nathaniel's Lodge
553,Sao Filipe,CV,72.14,clear sky,14.8961,-24.4956,Tortuga B&B
554,Dondo,MZ,73.4,light rain,-19.6094,34.7431,Arco Iris
555,Mapiripan,CO,70.3,overcast clouds,2.8892,-72.1256,Monserrate
556,Wewak,PG,83.14,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
557,Katherine,AU,91.4,scattered clouds,-14.4667,132.2667,Pine Tree Motel
560,Cedar City,US,69.8,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
564,Nichinan,JP,73.4,broken clouds,31.6,131.3667,Guest House Aki
566,Pekan,MY,86.0,few clouds,3.4836,103.3996,Pekan Budget Hotel
567,Bac Lieu,VN,89.15,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
568,Palu,ID,88.38,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
569,Puerto Guzman,CO,69.55,overcast clouds,0.9703,-76.5858,Hotel Campo Verde
570,Itarema,BR,75.78,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
572,Buala,SB,82.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
573,Jalu,LY,81.01,clear sky,29.0331,21.5482,صاحبة الفخامة
574,Ixtapa,MX,77.0,broken clouds,20.7,-105.2,Hotel Plaza Providencia
578,Gambela,ET,74.26,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
582,Nanakuli,US,80.01,overcast clouds,21.3906,-158.1547,Camp Pālehua
585,Qiryat Shemona,IL,68.0,clear sky,33.2073,35.5721,"אכסניית אנ""א תל חי HI Tel Hai Hostel"
587,Yining,CN,89.4,clear sky,29.0361,114.5636,Xiushui Hotel
588,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
591,Winslow,US,66.2,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
593,Sungairaya,ID,89.04,overcast clouds,0.7,108.9,Mess P.Milu
594,Nabire,ID,87.44,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
598,Tecoanapa,MX,79.95,clear sky,16.5167,-98.75,Hotel Manglares
603,Celestun,MX,81.75,overcast clouds,20.8667,-90.4,Posada Lilia
604,Arlit,NE,81.82,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
606,Maningrida,AU,87.69,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
607,Terenos,BR,66.2,clear sky,-20.4422,-54.8603,Rancho Pitzer
611,Charters Towers,AU,80.4,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
612,Boyolangu,ID,85.48,broken clouds,-8.1181,111.8935,Yos ega cv
614,Labuhan,ID,86.27,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
615,Sibolga,ID,85.98,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
616,Naudero,PK,86.0,haze,27.6648,68.3622,Bukhari Apartment
617,Alofi,NU,77.0,moderate rain,-19.0595,-169.9187,Taloa Heights
619,Lima,PE,66.2,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
624,Wahiawa,US,75.99,light rain,21.5028,-158.0236,Aloha Wahiawa
626,Ulladulla,AU,73.4,broken clouds,-35.35,150.4667,Sandpiper Motel
630,Ormara,PK,84.52,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
